sp	habitat
OG0011801	MFRU1	NonMarine
OG0011803	MMAR1	NonMarine
OG0011804	MMAR1	NonMarine
OG0011805	MMAR1	NonMarine
OG0011806	NALB1	Marine
OG0011807	TLIN1	Marine
OG0011809	PSOL1	NonMarine
OG0011811	SVEN1	Marine
OG0011812	TLIN1	Marine
OG0011818	ABIP1	NonMarine
OG0011864	ACAL1	Marine
OG0011924	MCOR1	Marine
OG0011926	NTUM1	Marine
OG0011932	BGON1	NonMarine
OG0011939	COLI1	Marine
OG0011945	BPLI1	Marine
OG0011946	BPLI1	Marine
OG0011947	BPLI1	Marine
OG0011963	CRVI1	Marine
OG0011964	CTEL1	Marine
OG0011969	MCOR1	Marine
OG0011970	MCOR1	Marine
OG0011971	MCOR1	Marine
OG0011975	OSIN1	Marine
OG0011976	PSOL1	NonMarine
OG0011977	SCON1	Marine
OG0011978	SVEN1	Marine
OG0011979	TLIN1	Marine
OG0011982	ABIP1	NonMarine
OG0012111	BPLI1	Marine
OG0012112	BPLI1	Marine
OG0012113	BPLI1	Marine
OG0012114	BPLI1	Marine
OG0012116	NMIR1	Marine
OG0012126	CRAD1	Marine
OG0012127	CRVI1	Marine
OG0012129	CTEL1	Marine
OG0012130	CTEL1	Marine
OG0012131	CTEL1	Marine
OG0012132	DROS1	NonMarine
OG0012134	DROS1	NonMarine
OG0012139	FSAG1	Marine
OG0012141	GPEL1	Marine
OG0012142	LSTA1	NonMarine
OG0012143	MCOR1	Marine
OG0012144	MCOR1	Marine
OG0012146	MCOR1	Marine
OG0012147	MCOR1	Marine
OG0012148	MCOR1	Marine
OG0012150	MMAR1	NonMarine
OG0012153	NALB1	Marine
OG0012154	NMIR1	Marine
OG0012156	TLIN1	Marine
OG0012226	ACRI1	Marine
OG0012257	AENT2	Marine
OG0012278	GAEG1	Marine
OG0012286	BGON1	NonMarine
OG0012294	BPLA1	Marine
OG0012304	BPLI1	Marine
OG0012305	BPLI1	Marine
OG0012306	BPLI1	Marine
OG0012307	BPLI1	Marine
OG0012308	BPLI1	Marine
OG0012309	BPLI1	Marine
OG0012310	BPLI1	Marine
OG0012311	BPLI1	Marine
OG0012312	BPLI1	Marine
OG0012313	BPLI1	Marine
OG0012314	BPLI1	Marine
OG0012315	BPLI1	Marine
OG0012318	NMIR1	Marine
OG0012336	COLI1	Marine
OG0012339	CTEL1	Marine
OG0012346	LSTA1	NonMarine
OG0012349	MCOR1	Marine
OG0012350	MCOR1	Marine
OG0012351	MCOR1	Marine
OG0012353	MCOR1	Marine
OG0012354	MCOR1	Marine
OG0012356	MFRU1	NonMarine
OG0012357	NMIR1	Marine
OG0012358	OFLO1	Marine
OG0012363	ABIP1	NonMarine
OG0012446	ADUX1	Marine
OG0012458	AENT2	Marine
OG0012491	BPLA1	Marine
OG0012498	BPLI1	Marine
OG0012500	BPLI1	Marine
OG0012501	BPLI1	Marine
OG0012502	BPLI1	Marine
OG0012503	BPLI1	Marine
OG0012504	BPLI1	Marine
OG0012505	BPLI1	Marine
OG0012506	BPLI1	Marine
OG0012531	CTEL1	Marine
OG0012532	CTEL1	Marine
OG0012533	ECHI1	NonMarine
OG0012540	LMAX1	NonMarine
OG0012541	LSTA1	NonMarine
OG0012542	MCOR1	Marine
OG0012543	MCOR1	Marine
OG0012544	MCOR1	Marine
OG0012545	MCOR1	Marine
OG0012546	MCOR1	Marine
OG0012547	MCOR1	Marine
OG0012548	MCOR1	Marine
OG0012549	MFRU1	NonMarine
OG0012550	MHON1	Marine
OG0012551	MMAR1	NonMarine
OG0012552	MMAR1	NonMarine
OG0012553	NMIR1	Marine
OG0012554	PELE1	NonMarine
OG0012555	PFUC1	Marine
OG0012558	SIMA1	Marine
OG0012562	ABIP1	NonMarine
OG0012569	ABIP1	NonMarine
OG0012654	ADUX1	Marine
OG0012655	ADUX1	Marine
OG0012656	ADUX1	Marine
OG0012664	AENT2	Marine
OG0012686	PPAC1	NonMarine
OG0012688	ENTR1	Marine
OG0012707	BPLI1	Marine
OG0012708	BPLI1	Marine
OG0012709	BPLI1	Marine
OG0012710	BPLI1	Marine
OG0012711	BPLI1	Marine
OG0012712	BPLI1	Marine
OG0012713	BPLI1	Marine
OG0012714	BPLI1	Marine
OG0012715	BPLI1	Marine
OG0012716	BPLI1	Marine
OG0012717	BPLI1	Marine
OG0012718	BPLI1	Marine
OG0012739	CTEL1	Marine
OG0012740	CTEL1	Marine
OG0012741	CTEL1	Marine
OG0012756	LSTA1	NonMarine
OG0012757	LSTA1	NonMarine
OG0012759	MCOR1	Marine
OG0012760	MCOR1	Marine
OG0012761	MCOR1	Marine
OG0012762	MMAR1	NonMarine
OG0012764	NMIR1	Marine
OG0012765	PHOY1	Marine
OG0012767	SGLO1	Marine
OG0012768	SIMA1	Marine
OG0012813	ACAL1	Marine
OG0012814	ACAL1	Marine
OG0012858	ADUX1	Marine
OG0012860	ADUX1	Marine
OG0012904	NALB1	Marine
OG0012909	BGLA1	NonMarine
OG0012922	BPLI1	Marine
OG0012923	BPLI1	Marine
OG0012924	BPLI1	Marine
OG0012925	BPLI1	Marine
OG0012926	BPLI1	Marine
OG0012927	BPLI1	Marine
OG0012928	BPLI1	Marine
OG0012929	BPLI1	Marine
OG0012930	BPLI1	Marine
OG0012931	BPLI1	Marine
OG0012935	CARY1	NonMarine
OG0012936	CARY1	NonMarine
OG0012953	COLI1	Marine
OG0012966	DROS1	NonMarine
OG0012972	GAEG1	Marine
OG0012974	GTOL1	Marine
OG0012980	MACO1	NonMarine
OG0012981	MACO1	NonMarine
OG0012983	MCOR1	Marine
OG0012986	MCOR1	Marine
OG0012987	MCOR1	Marine
OG0012988	MCOR1	Marine
OG0012989	MCOR1	Marine
OG0012990	MCOR1	Marine
OG0012992	MCOR1	Marine
OG0012993	MCOR1	Marine
OG0012994	MCOR1	Marine
OG0012996	MMAR1	NonMarine
